address_id,user_id,address,latitude,longitude,per_capita_income,city,state
1,825,462 Rose Lane,34.15,-117.76,$29278,La Verne,California
2,1746,3606 Federal Boulevard,40.76,-73.74,$37891,City of New York,New York
3,1718,766 Third Drive,34.02,-117.89,$22681,West Covina,California
4,708,3 Madison Street,40.71,-73.99,$163145,City of New York,New York
5,1164,9620 Valley Stream Drive,37.76,-122.44,$53797,San Francisco,California
6,68,58 Birch Lane,41.55,-90.6,$20599,Davenport,Iowa
7,1075,5695 Fifth Street,38.22,-85.74,$25258,Louisville,Kentucky
8,1711,1941 Ninth Street,45.51,-122.64,$26790,Portland,Oregon
9,1116,11 Spruce Avenue,40.32,-75.32,$26273,Telford,Pennsylvania
10,1752,887 Grant Street,29.97,-92.12,$18730,Abbeville,Louisiana
11,192,888 Fifth Lane,38.65,-121.25,$27548,,California
12,640,8677 Littlewood Lane,40.42,-104.74,$22427,Greeley,Colorado
13,1679,829 Fourth Boulevard,41.76,-71.48,$33914,Cranston,Rhode Island
14,1094,74786 Jefferson Drive,44.75,-85.6,$20325,Traverse City,Michigan
15,1590,781 East Street,29.45,-98.5,$10059,San Antonio,Texas
16,1660,40 Washington Drive,36.73,-102.51,$11342,Boise City,Oklahoma
17,1747,3994 Hillside Drive,32.15,-94.79,$17898,Henderson,Texas
18,153,172 Birch Street,35.29,-111.32,$21950,,Arizona
19,429,8145 Spruce Boulevard,35.19,-80.83,$26481,Charlotte,North Carolina
20,511,153 Tenth Lane,32.21,-110.88,$17460,Tucson,Arizona
21,309,2473 Lake Avenue,32.07,-82.91,$12321,McRae–Helena,Georgia
22,777,970 Essex Drive,37.37,-122.21,$106305,Portola Valley,California
23,1946,9186 Washington Avenue,41.47,-81.67,$19524,Cleveland,Ohio
24,1674,5073 Wessex Avenue,35.49,-90.35,$14172,Tyronza,Arkansas
25,482,195 Eighth Boulevard,42.39,-122.93,$17131,,Oregon
26,877,801 Mill Boulevard,33.44,-111.85,$16829,Mesa,Arizona
27,128,6914 Wessex Avenue,29.76,-95.38,$15389,Houston,Texas
28,775,776 Norfolk Boulevard,34.17,-118.46,$21402,Los Angeles,California
29,1536,2015 Bayview Avenue,36.15,-85.5,$15955,Cookeville,Tennessee
30,140,108 Washington Street,36.28,-86.83,$20657,Nashville,Tennessee
31,1884,660 Seventh Drive,39.98,-82.98,$28092,Columbus,Ohio
